file name,loc,blame error?,analyse time,constraints,hit as normal,hit as strict,Normal,Strict,Wrong dynamic
/home/sch/grift-exp/blackscholes/constant-swap/mutant105/mutant105-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant106/mutant106-dynamic.grift,270,#t,59,1138,#t,#t,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant107/mutant107-dynamic.grift,270,#f,58,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant108/mutant108-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant109/mutant109-dynamic.grift,270,#t,61,1138,#t,#t,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant11/mutant11-dynamic.grift,270,#f,65,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant110/mutant110-dynamic.grift,270,#f,63,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant111/mutant111-dynamic.grift,270,#f,61,1140,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant112/mutant112-dynamic.grift,270,#f,60,1140,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant113/mutant113-dynamic.grift,270,#f,62,1140,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant114/mutant114-dynamic.grift,270,#f,61,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant115/mutant115-dynamic.grift,270,#t,58,1138,#t,#t,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant116/mutant116-dynamic.grift,270,#f,60,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant117/mutant117-dynamic.grift,270,#f,64,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant118/mutant118-dynamic.grift,270,#t,63,1138,#t,#t,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant12/mutant12-dynamic.grift,270,#f,62,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant13/mutant13-dynamic.grift,270,#f,58,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant14/mutant14-dynamic.grift,270,#f,58,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant15/mutant15-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant16/mutant16-dynamic.grift,270,#f,60,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant17/mutant17-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant18/mutant18-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant19/mutant19-dynamic.grift,270,#f,61,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant2/mutant2-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant20/mutant20-dynamic.grift,270,#f,60,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant21/mutant21-dynamic.grift,270,#f,60,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant22/mutant22-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant23/mutant23-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant24/mutant24-dynamic.grift,270,#f,60,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant25/mutant25-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant26/mutant26-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant27/mutant27-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant28/mutant28-dynamic.grift,270,#t,59,1138,#t,#t,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant29/mutant29-dynamic.grift,270,#f,58,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant3/mutant3-dynamic.grift,270,#t,58,1138,#t,#t,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant30/mutant30-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant31/mutant31-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant32/mutant32-dynamic.grift,270,#f,58,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant33/mutant33-dynamic.grift,270,#f,60,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant34/mutant34-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant35/mutant35-dynamic.grift,270,#f,59,1138,#f,#f,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant36/mutant36-dynamic.grift,270,#f,59,1148,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant37/mutant37-dynamic.grift,270,#f,59,1148,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant38/mutant38-dynamic.grift,270,#f,58,1147,#f,#f,1,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant39/mutant39-dynamic.grift,270,#f,59,1147,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant4/mutant4-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant40/mutant40-dynamic.grift,270,#f,58,1147,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant41/mutant41-dynamic.grift,270,#f,59,1146,#f,#f,1,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant42/mutant42-dynamic.grift,270,#f,60,1146,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant43/mutant43-dynamic.grift,270,#f,59,1146,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant44/mutant44-dynamic.grift,270,#f,59,1145,#f,#f,1,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant45/mutant45-dynamic.grift,270,#f,60,1142,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant46/mutant46-dynamic.grift,270,#f,61,1142,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant47/mutant47-dynamic.grift,270,#f,61,1142,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant48/mutant48-dynamic.grift,270,#f,60,1145,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant49/mutant49-dynamic.grift,270,#f,59,1145,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant5/mutant5-dynamic.grift,270,#f,58,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant50/mutant50-dynamic.grift,270,#f,59,1144,#f,#f,1,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant51/mutant51-dynamic.grift,270,#f,60,1144,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant52/mutant52-dynamic.grift,270,#f,59,1144,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant53/mutant53-dynamic.grift,270,#f,59,1143,#f,#f,1,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant54/mutant54-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant55/mutant55-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant56/mutant56-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant57/mutant57-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant58/mutant58-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant59/mutant59-dynamic.grift,270,#f,58,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant6/mutant6-dynamic.grift,270,#t,59,1138,#t,#t,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant60/mutant60-dynamic.grift,270,#f,69,1156,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant61/mutant61-dynamic.grift,270,#f,67,1156,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant62/mutant62-dynamic.grift,270,#f,67,1153,#f,#f,3,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant63/mutant63-dynamic.grift,270,#f,67,1154,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant64/mutant64-dynamic.grift,270,#f,66,1154,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant65/mutant65-dynamic.grift,270,#f,66,1152,#f,#f,2,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant66/mutant66-dynamic.grift,270,#f,66,1154,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant67/mutant67-dynamic.grift,270,#f,67,1154,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant68/mutant68-dynamic.grift,270,#f,67,1152,#f,#f,2,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant69/mutant69-dynamic.grift,270,#f,67,1156,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant7/mutant7-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant70/mutant70-dynamic.grift,270,#f,66,1156,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant71/mutant71-dynamic.grift,270,#f,67,1153,#f,#f,3,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant72/mutant72-dynamic.grift,270,#f,58,1147,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant73/mutant73-dynamic.grift,270,#f,59,1146,#f,#f,1,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant74/mutant74-dynamic.grift,270,#f,61,1147,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant75/mutant75-dynamic.grift,270,#f,66,1156,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant76/mutant76-dynamic.grift,270,#f,66,1156,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant77/mutant77-dynamic.grift,270,#f,67,1153,#f,#f,3,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant78/mutant78-dynamic.grift,270,#f,58,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant79/mutant79-dynamic.grift,270,#t,59,1138,#t,#t,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant8/mutant8-dynamic.grift,270,#f,60,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant80/mutant80-dynamic.grift,270,#f,61,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant81/mutant81-dynamic.grift,270,#f,61,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant82/mutant82-dynamic.grift,270,#t,59,1138,#t,#t,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant83/mutant83-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant86/mutant86-dynamic.grift,272,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant87/mutant87-dynamic.grift,272,#t,58,1138,#t,#t,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant88/mutant88-dynamic.grift,271,#f,60,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant89/mutant89-dynamic.grift,272,#t,58,1138,#t,#t,1,1,1
/home/sch/grift-exp/blackscholes/constant-swap/mutant9/mutant9-dynamic.grift,270,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/constant-swap/mutant90/mutant90-dynamic.grift,271,#f,59,1139,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant0/mutant0-dynamic.grift,270,#t,58,1137,#t,#t,4,4,2
/home/sch/grift-exp/blackscholes/position-swap/mutant1/mutant1-dynamic.grift,270,#f,60,1145,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant10/mutant10-dynamic.grift,270,#f,60,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant11/mutant11-dynamic.grift,270,#f,60,1141,#f,#f,0,0,0
