file-path,true-srcloc,reasons,number-of-false-positive,false-positive
/exp/blackscholes/arithmetic/mutant15/mutant15-static/7.grift,#(struct:srcloc 7.grift 35 36 1469 60),elsewhere,1, (#(struct:srcloc 7.grift 24 24 916 866))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/8.grift,#(struct:srcloc 8.grift 35 36 1467 60),elsewhere,1, (#(struct:srcloc 8.grift 24 24 914 866))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/9.grift,#(struct:srcloc 9.grift 35 36 1461 60),elsewhere,1, (#(struct:srcloc 9.grift 24 24 910 864))
/exp/blackscholes/arithmetic/mutant19/mutant19-dynamic.grift,#(struct:srcloc mutant19-dynamic.grift 71 27 1922 52),elsewhere,1, (#(struct:srcloc mutant19-dynamic.grift 64 18 1675 349))
/exp/blackscholes/arithmetic/mutant22/mutant22-dynamic.grift,#(struct:srcloc mutant22-dynamic.grift 89 9 2410 59),elsewhere,1, (#(struct:srcloc mutant22-dynamic.grift 73 0 2012 1248))
/exp/blackscholes/arithmetic/mutant24/mutant24-dynamic.grift,#(struct:srcloc mutant24-dynamic.grift 93 9 2495 52),elsewhere,1, (#(struct:srcloc mutant24-dynamic.grift 73 0 2012 1248))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/2.grift,#(struct:srcloc 2.grift 53 12 2227 52),elsewhere,1, (#(struct:srcloc 2.grift 41 0 1774 1147))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/3.grift,#(struct:srcloc 3.grift 53 12 2224 52),elsewhere,1, (#(struct:srcloc 3.grift 41 0 1771 1145))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/4.grift,#(struct:srcloc 4.grift 53 12 2224 52),elsewhere,1, (#(struct:srcloc 4.grift 41 0 1771 1143))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/5.grift,#(struct:srcloc 5.grift 53 12 2210 52),elsewhere,1, (#(struct:srcloc 5.grift 41 0 1771 1129))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/6.grift,#(struct:srcloc 6.grift 53 12 2214 52),elsewhere,1, (#(struct:srcloc 6.grift 41 0 1771 1133))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/7.grift,#(struct:srcloc 7.grift 53 12 2208 52),elsewhere,1, (#(struct:srcloc 7.grift 41 0 1769 1129))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/8.grift,#(struct:srcloc 8.grift 53 12 2206 52),elsewhere,1, (#(struct:srcloc 8.grift 41 0 1767 1129))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/9.grift,#(struct:srcloc 9.grift 53 12 2194 52),elsewhere,1, (#(struct:srcloc 9.grift 41 0 1755 1123))
